X_UTM,Y_UTM,X_NZTM,Y_NZTM,DISTANCE,GPS_ELEV,SP_mVolts,CO2_gm-2d-1,Remarks,X_NZTM_new,Y_NZTM_new,LiDAR_z
312301,5927952,1769269.067,5928337.307,6760,9,5.215339233,0,,1769269.067,5928337.307,2.89
312310,5927969,1769278.769,5928353.915,6780,8,0,0,Sea,1769278.769,5928353.915,1.15
312324,5927988,1769293.55,5928372.311,6800,10,-13,0,,1769293.55,5928372.311,2.12
312339,5928003,1769309.162,5928386.67,6820,9,-1,0,,1769309.162,5928386.67,3.1
312350,5928017,1769320.737,5928400.197,6840,5,8,0,,1769320.737,5928400.197,3.28
312361,5928033,1769332.395,5928415.722,6860,6,18,0,,1769332.395,5928415.722,3.74
312372,5928052,1769344.179,5928434.244,6880,10,30,0,,1769344.179,5928434.244,5.24
312385,5928069,1769357.877,5928450.685,6900,15,40,0,,1769357.877,5928450.685,6.86
312397,5928083,1769370.45,5928464.17,6920,12,41,0,,1769370.45,5928464.17,7.72
312412,5928099,1769386.105,5928479.528,6940,12,44,0,,1769386.105,5928479.528,7.64
312409,5928118,1769383.902,5928498.635,6960,13,45,0,,1769383.902,5928498.635,7.76
312403,5928140,1769378.827,5928520.865,6980,16,46,0,,1769378.827,5928520.865,9.61
312397,5928153,1769373.376,5928534.103,7000,17,46,0,,1769373.376,5928534.103,10.97
312392,5928174,1769369.258,5928555.292,7020,22,48,0,,1769369.258,5928555.292,13.66
312375,5928185,1769352.734,5928566.992,7040,24,48,0,,1769352.734,5928566.992,16.41
312359,5928197,1769337.251,5928579.649,7060,25,51,0,,1769337.251,5928579.649,18.6
312349,5928213,1769327.929,5928596.052,7080,31,52,0,,1769327.929,5928596.052,20.13
312350,5928232,1769329.722,5928614.992,7100,33,52,0,,1769329.722,5928614.992,22.49
312363,5928252,1769343.545,5928634.43,7120,35,60,0,,1769343.545,5928634.43,23.9
312385,5928249,1769365.399,5928630.513,7140,35,57,0,,1769365.399,5928630.513,25.33
312403,5928237,1769382.88,5928617.772,7160,37,62,0,,1769382.88,5928617.772,27.45
312423,5928230,1769402.569,5928609.943,7180,38,60,0,,1769402.569,5928609.943,29.62
312440,5928221,1769419.176,5928600.241,7200,44,60,0,,1769419.176,5928600.241,31.26
312459,5928214,1769437.866,5928592.454,7220,49,61,0,,1769437.866,5928592.454,33.43
312476,5928217,1769454.975,5928594.741,7240,46,62,0,,1769454.975,5928594.741,35.04
312496,5928222,1769475.165,5928598.9,7260,44,58,0,,1769475.165,5928598.9,37.06
312519,5928224,1769498.226,5928599.937,7280,50,61,0,,1769498.226,5928599.937,39.06
312536,5928228,1769515.377,5928603.223,7300,48,64,0,,1769515.377,5928603.223,40.53
312557,5928232,1769536.525,5928606.342,7320,51,64,0,,1769536.525,5928606.342,42.54
312576,5928236,1769555.674,5928609.544,7340,52,58,0,,1769555.674,5928609.544,44.28
312596,5928244,1769575.989,5928616.7,7360,56,62,0,,1769575.989,5928616.7,45.82
312614,5928252,1769594.306,5928623.941,7380,57,64,0,,1769594.306,5928623.941,46.99
312630,5928263,1769610.751,5928634.262,7400,57,60,0,,1769610.751,5928634.262,47.94
312648,5928273,1769629.151,5928643.5,7420,57,78,0,,1769629.151,5928643.5,49.29
312666,5928283,1769647.552,5928652.738,7440,60,70,0,,1769647.552,5928652.738,50.32
312682,5928295,1769664.038,5928664.058,7460,61,69,0,,1769664.038,5928664.058,52.22
312697,5928306,1769679.484,5928674.421,7480,62,67,0,,1769679.484,5928674.421,52.56
312712,5928320,1769695.055,5928687.781,7500,66,60,0,,1769695.055,5928687.781,53.15
312726,5928333,1769709.584,5928700.183,7520,64,73,0,,1769709.584,5928700.183,54.1
312740,5928348,1769724.198,5928714.584,7540,66,77,0,,1769724.198,5928714.584,55.19
312753,5928362,1769737.771,5928728.027,7560,65,72,0,,1769737.771,5928728.027,56.4
312773,5928366,1769757.919,5928731.188,7580,66,67,0,,1769757.919,5928731.188,57.46
312794,5928365,1769778.857,5928729.311,7600,68,67,0,,1769778.857,5928729.311,58.17
312813,5928362,1769797.714,5928725.52,7620,66,66,0,,1769797.714,5928725.52,59.28
312833,5928367,1769817.904,5928729.68,7640,68,65,0,,1769817.904,5928729.68,60.33
312851,5928378,1769836.346,5928739.917,7660,69,68,0,,1769836.346,5928739.917,61.5
312868,5928387,1769853.706,5928748.198,7680,69,67,0,,1769853.706,5928748.198,62.06
312890,5928393,1769875.936,5928753.273,7700,72,67,0,,1769875.936,5928753.273,63.52
312909,5928399,1769895.169,5928758.473,7720,71,75,0,,1769895.169,5928758.473,64.66
312929,5928405,1769915.4,5928763.632,7740,70,81,0,,1769915.4,5928763.632,65.9
312948,5928409,1769934.549,5928766.834,7760,73,73,0,,1769934.549,5928766.834,66.96
